africa (n) . /ˈæfrɪkə/ | Châu Phi
revolution (n) . /ˌrevəˈluːʃn/ | cuộc cách mạng
fluently (adv) . /ˈfluːəntli/ | một cách trôi chảy
wide (adj) . /waɪd/ | rộng, rộng lớn
mass (n) . /mæs/ | khối lượng, số đông, quần chúng
shrimp (n) . /ʃrɪmp/ | con tôm
krill (n) . /krɪl/ | loài nhuyễn thể (tôm nhỏ)
factory (n) . /ˈfæktəri/ | nhà máy, xí nghiệp
fate (n) . /feɪt/ | số phận, vận mệnh
myth (n) . /mɪθ/ | thần thoại, chuyện hoang đường
publish (v) . /ˈpʌblɪʃ/ | xuất bản
badminton (n) . /ˈbædmɪntən/ | môn cầu lông
depend (v) . /dɪˈpend/ | phụ thuộc, tùy thuộc
split (v) . /splɪt/ | chia nhỏ, chẻ, tách ra
award (n) . /əˈwɔːrd/ | giải thưởng, phần thưởng
raft (n) . /ræft/ | cái bè
unbearable (adj) . /ʌnˈberəbl/ | không thể chịu nổi
sponsor (n) . /ˈspɑːnsər/ | nhà tài trợ
especially (adv) . /ɪˈspeʃəli/ | đặc biệt là
between (prep) . /bɪˈtwiːn/ | ở giữa (hai cái/người)
ever (adv) . /ˈevər/ | đã từng, bao giờ
adult (n) . /ˈædʌlt/ | người trưởng thành
soldier (n) . /ˈsoʊldʒər/ | người lính
injure (v) . /ˈɪndʒər/ | làm bị thương
common (adj) . /ˈkɑːmən/ | phổ biến, thông thường
battle (n) . /ˈbætl/ | trận chiến
favourite (adj) . /ˈfeɪvərɪt/ | được yêu thích
comic (n) . /ˈkɑːmɪk/ | truyện tranh
keen on (adj) . /kiːn ɑːn/ | đam mê, sắc sảo
steak (n) . /steɪk/ | miếng thịt bò nướng
express (v) . /ɪkˈspres/ | bày tỏ, biểu lộ
reason (n) . /ˈriːzn/ | lý do, nguyên nhân
male (adj) . /meɪl/ | thuộc phái nam, giống đực
female (adj) . /ˈfiːmeɪl/ | thuộc phái nữ, giống cái
attract (v) . /əˈtrækt/ | thu hút, hấp dẫn
branch (n) . /bræntʃ/ | chi nhánh, cành cây
warn (v) . /wɔːrn/ | cảnh báo
spread (v) . /spred/ | lan truyền, trải rộng
tail (n) . /teɪl/ | cái đuôi
sign (n) . /saɪn/ | dấu hiệu, ký hiệu, biển báo
unusual (adj) . /ʌnˈjuːʒuəl/ | bất thường, lạ kỳ
shell (n) . /ʃel/ | vỏ (sò, trứng, rùa)
purpose (n) . /ˈpɜːrpəs/ | mục đích
nest (n) . /nest/ | cái tổ (chim, côn trùng)
similar (adj) . /ˈsɪmələr/ | tương tự, giống nhau
efficiently (adv) . /ɪˈfɪʃntli/ | một cách hiệu quả
thus (adv) . /ðʌs/ | do đó, vì vậy
ability (n) . /əˈbɪləti/ | khả năng, năng lực
foreign (adj) . /ˈfɔːrən/ | thuộc về nước ngoại
contrary (n) . /ˈkɑːntreri/ | sự trái ngược, ngược lại
suggest (v) . /səˈdʒest/ | gợi ý, đề xuất
opposite (adj) . /ˈɑːpəzɪt/ | đối diện, trái ngược
conclude (v) . /kənˈkluːd/ | kết luận
include (v) . /ɪnˈkluːd/ | bao gồm
teenager (n) . /ˈtiːneɪdʒər/ | thanh thiếu niên
direct (adj) . /dəˈrekt/ | trực tiếp
improvement (n) . /ɪmˈpruːvmənt/ | sự cải thiện, tiến bộ
childhood (n) . /ˈtʃaɪldhʊd/ | thời thơ ấu
adulthood (n) . /əˈdʌlthʊd/ | tuổi trưởng thành
explanation (n) . /ˌekspləˈneɪʃn/ | sự giải thích
therefore (adv) . /ˈðerfɔːr/ | vì vậy, do đó
moreover (adv) . /mɔːrˈoʊvər/ | hơn thế nữa, vả lại
logical (adj) . /ˈlɑːdʒɪkl/ | hợp lý, có tính logic
discipline (n) . /ˈdɪsəplɪn/ | kỷ luật
pattern (n) . /ˈpætərn/ | hoa văn, khuôn mẫu
various (adj) . /ˈveries/ | đa dạng, nhiều loại khác nhau
plentiful (adj) . /ˈplentɪfl/ | phong phú, dồi dào
extreme (adj) . /ɪkˈstriːm/ | cực kỳ, khắc nghiệt
cliff (n) . /klɪf/ | vách đá
dive (v) . /daɪv/ | lặn, lao xuống
canyon (n) . /ˈkænjən/ | hẻm núi
adventure (n) . /ədˈventʃər/ | cuộc phiêu lưu
professional (adj) . /prəˈfeʃənl/ | chuyên nghiệp
landscape (n) . /ˈlændskeɪp/ | phong cảnh
paragliding (n) . /ˈpærəɡlaɪdɪŋ/ | môn dù lượn
peaceful (adj) . /ˈpiːsfl/ | hòa bình, yên bình
distance (n) . /ˈdɪstəns/ | khoảng cách
require (v) . /rɪˈkwaɪər/ | yêu cầu, đòi hỏi
nation (n) . /ˈneɪʃn/ | quốc gia, dân tộc
international (adj) . /ˌɪntərˈnæʃnəl/ | quốc tế
gamble (v) . /ˈɡæmbl/ | đánh bạc, cá cược
debt (n) . /det/ | khoản nợ
abroad (adv) . /əˈbrɔːd/ | ở nước ngoài, ra nước ngoài
hesitate (v) . /ˈhezɪteɪt/ | do dự, ngập ngừng
certain (adj) . /ˈsɜːrtn/ | chắc chắn, nào đó
disappoint (v) . /ˌdɪsəˈpɔɪnt/ | làm thất vọng
exhibition (n) . /ˌeksɪˈbɪʃn/ | cuộc triển lãm
condition (n) . /kəˈdɪʃn/ | điều kiện, tình trạng
air-conditioner (n) . /ˈer kəndɪʃənər/ | máy điều hòa nhiệt độ
individually (adv) . /ˌɪndɪˈvɪdʒuəli/ | một cách riêng lẻ, từng người một
amount (n) . /əˈmaʊnt/ | số lượng, lượng
majority (n) . /məˈdʒɔːrəti/ | phần lớn, đa số
victim (n) . /ˈvɪktɪm/ | nạn nhân
disagree (v) . /ˌdɪsəˈɡriː/ | không đồng ý, phản đối
opinion (n) . /əˈpɪnjən/ | ý kiến, quan điểm
drugs (n) . /drʌɡz/ | thuốc ma túy, dược phẩm
possession (n) . /pəˈzeʃn/ | sự sở hữu, tài sản
prepare (v) . /prɪˈper/ | chuẩn bị
embarrassing (adj) . /ɪmˈbærəsɪŋ/ | gây xấu hổ, ngượng ngùng(hoàn cảnh)
product (n) . /ˈprɑːdʌkt/ | sản phẩm
confidential (adj) . /ˌkɑːnfɪˈdenʃl/ | bảo mật, bí mật
candidate (n) . /ˈkændɪdət/ | ứng cử viên
piped (adj) . /paɪpt/ | được dẫn bằng ống
waste (v) . /weɪst/ | lãng phí
afford (v) . /əˈfɔːrd/ | có đủ khả năng chi trả
editor (n) . /ˈedɪtər/ | biên tập viên
journalist (n) . /ˈdʒɜːrnəlɪst/ | nhà báo, phóng viên
fuel (n) . /ˈfjuːəl/ | nhiên liệu
relative (n) . /ˈrelətɪv/ | họ hàng, người thân
along (prep) . /əˈlɔːŋ/ | dọc theo
price (n) . /praɪs/ | giá cả
decoration (n) . /ˌdekəˈreɪʃn/ | sự trang trí, đồ trang trí
well-known (adj) . /ˌwel ˈnoʊn/ | nổi tiếng, được biết đến rộng rãi
idiom (n) . /ˈɪdiəm/ | thành ngữ
account (n) . /əˈkaʊnt/ | tài khoản
below (prep) . /bɪˈloʊ/ | ở dưới, phía dưới
grow (v) . /ɡroʊ/ | phát triển, lớn lên(số lượng)
per (prep) . /pɜːr/ | mỗi, trên mỗi
add up (v) . /æd ʌp/ | cộng lại, tính tổng
overtime (n) . /ˈoʊvərtaɪm/ | giờ làm thêm, ca tăng ca
over time (phrase) . /ˈoʊvər taɪm/ | theo thời gian, qua một thời gian
according to (prep) . /əˈkɔːrdɪŋ tu/ | theo như
earn (v) . /ɜːrn/ | kiếm được (tiền, lời khen)
infer (v) . /ɪnˈfɜːr/ | suy ra, luận ra
seashell (n) . /ˈsiːʃel/ | vỏ sò, vỏ ốc
cheques (n) . /tʃeks/ | tấm séc ngân hàng
frequently (adv) . /ˈfriːkwəntli/ | thường xuyên(tần suất)
general (adj/n) . /ˈdʒenrəl/ | chung, tổng quát
generic (adj) . /dʒəˈnerɪk/ | chung, khái quát
generally (adv) . /ˈdʒenrəli/ | nhìn chung, nói chung
receive (v) . /rɪˈsiːv/ | nhận được, tiếp nhận
author (n/v) . /ˈɔːθər/ | tác giả; sáng tác
instead (adv) . /ɪnˈsted/ | thay vì, thay vào đó
serve (v) . /sɜːrv/ | phục vụ
waiter (n) . /ˈweɪtər/ | bồi bàn nam
separate (v) . /ˈsepəreɪt/ | chia tách, làm tách rời
trouble (n) . /ˈtrʌbl/ | rắc rối, trở ngại
hemisphere (n) . /ˈhemɪsfɪr/ | bán cầu
result (n) . /rɪˈzʌlt/ | kết quả
properly (adv) . /ˈprɑːpərli/ | một cách đúng đắn, thích hợp
experiment (n) . /ɪkˈsperɪmənt/ | cuộc thí nghiệm
experience (n) . /ɪkˈspɪriəns/ | kinh nghiệm, trải nghiệm
pale (adj) . /peɪl/ | nhợt nhạt, tái mét
parrot (n) . /ˈpærət/ | con vẹt
pleasure (n) . /ˈpleʒər/ | niềm vui thú, nhục dục
prostitute (noun) . /ˈprɑːstətuːt/ | mại dâm, đĩ
rarely (adv) . /ˈrerli/ | hiếm khi
attention (n) . /əˈtenʃn/ | sự chú ý
local (adj/n) . /ˈləʊkl/ | địa phương, cục bộ
brilliant (adj) . /ˈbrɪliənt/ | tỏa sáng, rực rỡ, xuất chúng
handsome (adj) . /ˈhænsəm/ | đẹp trai, bảnh bao
democratic (adj) . /ˌdeməˈkrætɪk/ | dân chủ
independence (n) . /ˌɪndɪˈpendəns/ | sự độc lập, nền độc lập
liquid (n/adj) . /ˈlɪkwɪd/ | chất lỏng, lỏng
boil (v/n) . /bɔɪl/ | sôi, đun sôi
nitrogen (n) . /ˈnaɪtrədʒən/ | khí nitơ
core (n/adj) . /kɔːr/ | lõi, cốt lõi
depart (v) . /dɪˈpɑːrt/ | khởi hành, xuất phát, rời khỏi
Taipei (n) . /ˌtaɪˈpeɪ/ | Đài Bắc (Đài Loan)
as soon as (idiom) . /æz suːn æz/ | ngay khi
introduce (v) . /ˌɪntrəˈduːs/ | giới thiệu, đưa vào sử dụng
expression (n) . /ɪkˈspreʃn/ | sự biểu lộ, biểu cảm
pleased to meet you (phrase) . /pliːzd tə miːt juː/ | rất vui được gặp bạn(trang trọng)
regularly (adv) . /ˈreɡjələrli/ | thường xuyên (đều đặn)
republic (n) . /rɪˈpʌblɪk/ | nền cộng hòa, nước cộng hòa
match (n) . /mætʃ/ | trận đấu, que diêm, tương xứng
match (v) . /mætʃ/ | làm cho phù hợp, đối chọi lại
seldom (adv) . /ˈseldəm/ | hiếm khi (tính trang trọng)
socialist (adj/n) . /ˈsoʊʃəlɪst/ | xã hội chủ nghĩa
usual (adj) . /ˈjuːʒuəl/ | thông thường, quen thuộc
witty (adj) . /ˈwɪti/ | dí dỏm, hóm hỉnh
how big would you dream if you knew you couldn't fail (sentence) . /haʊ bɪɡ wʊd juː driːm ɪf juː njuː juː ˈkʊdnt feɪl/ | Bạn sẽ mơ lớn đến mức nào, nếu bạn biết bạn không thể thất bại?
contact (n/v) . /ˈkɑːntækt/ | sự liên lạc, liên hệ
twin (n/adj) . /twɪn/ | anh chị em sinh đôi
triplet (n) . /ˈtrɪplət/ | trẻ sinh ba, bộ ba
niece (n) . /niːs/ | cháu gái (con của anh, chị, em)
nephew (n) . /ˈnefjuː/ | cháu trai (con của anh, chị, em)
sibling (n) . /ˈsɪblɪŋ/ | anh, chị, em ruột
parking space (n) . /ˈpɑːrkɪŋ speɪs/ | chỗ đậu xe
for sale (phrase) . /fər seɪl/ | để bán
spent (v) . /spent/ | đã tiêu, đã dành, đã tiêu tiền
bookstore (n) . /ˈbʊkstɔːr/ | hiệu sách
euro (n) . /ˈjʊəroʊ/ | euro
high (adj) . /haɪ/ | cao
sneaker (n) . /ˈsniːkər/ | giày thể thao
leather (n) . /ˈleðər/ | da
discount (n) . /ˈdɪskaʊnt/ | giảm giá
belt (n) . /belt/ | thắt lưng
salesperson (n) . /ˈseɪlzpɜːrsn/ | nhân viên bán hàng
half (n) . /hæf/ | nửa, một nửa
mix (v) . /mɪks/ | trộn, hoà trộn, hoà lẫn
measure (v) . /ˈmeʒər/ | đo, đo được, lường
none of (phrase) . /nʌn əv/ | không ai trong số
shout (v) . /ʃaʊt/ | la mắng, la hét, hét
any of (phrase) . /ˈeni əv/ | bất kỳ ai trong số
some of (phrase) . /sʌm əv/ | một ít
above (prep) . /əˈbʌv/ | trên
race (n) . /reɪs/ | chủng, cuộc đua
fit (v) . /fɪt/ | vừa vặn
diet (n) . /ˈdaɪət/ | chế độ ăn uống, chế độ ăn kiêng
each other (phrase) . /iːtʃ ˈʌðər/ | lẫn nhau, cho nhau
chat (v) . /tʃæt/ | trò chuyện, huyên, tán
surprise (n) . /sərˈpraɪz/ | sự bất ngờ, sự ngạc nhiên
thought (n) . /θɔːt/ | suy nghĩ, niệm, ngỡ
yeah (excl) . /jeə/ | ừ
hope (v) . /hoʊp/ | mong, niềm hy vọng, hy vọng
in love (phrase) . /ɪn lʌv/ | yêu
download (v) . /ˌdaʊnˈloʊd/ | tải
link (n) . /lɪŋk/ | đường dẫn liên kết
journal (n) . /ˈdʒɜːrnl/ | báo
set (v) . /set/ | bộ, đặt, để
note (n) . /noʊt/ | lưu ý, lời ghi chép
career (n) . /kəˈrɪər/ | sự nghiệp
sacrifice (v) . /ˈsækrifaɪs/ | hy sinh
ashamed (adj) . /əˈʃeɪmd/ | xấu hổ(lương tâm)
machine (n) . /məˈʃiːn/ | máy móc
virtual (adj) . /ˈvɜːrtʃuəl/ | ảo
development (n) . /dɪˈveləpmənt/ | sự phát triển(chất lượng)
achiever (n) . /əˈtʃiːvər/ | người thành công
abstract (adj) . /ˈæbstrækt/ | trừu tượng
extend (v) . /ɪkˈstend/ | mở rộng, kéo dài
implements (v) . /ˈɪmplɪments/ | hiện thực hóa, triển khai
interface (n) . /ˈɪntərfeɪs/ | giao diện
override (v) . /ˌoʊvərˈraɪd/ | ghi đè
overload (v) . /ˌoʊvərˈloʊd/ | nạp chồng
parse (v) . /pɑːrs/ | phân tích cú pháp
plus (prep) . /plʌs/ | cộng
minus (prep) . /ˈmaɪnəs/ | trừ
times (prep) . /taɪmz/ | nhân
remainder (n) . /ri'meindər/ | phần dư, phần còn lại
unary (adj) . /ˈjuːnəri/ | một ngôi (toán học/lập trình)
equals (v) . /ˈiːkwəlz/ | bằng
trim (v) . /trɪm/ | cắt tỉa, cắt khoảng trắng
uppercase (n) . /ˈʌpərkeɪs/ | chữ hoa
lowercase (n) . /ˈloʊərkeɪs/ | chữ thường
contains (v) . /kənˈteɪnz/ | chứa đựng
indices (n) . /ˈɪndɪsiːz/ | các chỉ số
reverse (v) . /rɪˈvɜːrs/ | đảo ngược
filter (v) . /ˈfɪltər/ | lọc
remove (v) . /rɪˈmuːv/ | di dời, dọn dẹp, loại bỏ
constructor (n) . /kənˈstrʌktər/ | người xây dựng
operator (n) . /ˈɑːpəreɪtər/ | toán tử, người vận hành
encapsulation (n) . /ɪnˌkæpsuˈleɪʃn/ | tính đóng gói
inheritance (n) . /ɪnˈherɪtəns/ | tính kế thừa, sự thừa kế
enumeration (n) . /i,nju:mə'rei∫n/ | sự liệt kê
linear (adj) . /ˈlɪniər/ | tuyến tính
constraint (n) . /kənˈstreɪnt/ | ràng buộc
attribute (n) . /ˈætrɪbjuːt/ | thuộc tính
distribute (v) . /dɪˈstrɪbjuːt/ | phân phối, phân phát
gravity (n) . /ˈɡrævəti/ | trọng lực, độ hút
tint (n) . /tɪnt/ | màu nhuộm
ellipse (n) . /ɪˈlɪps/ | hình elip
perform (v) . /pərˈfɔːrm/ | thực hiện, biểu diễn
affinity (n) . /əˈfɪnəti/ | mối quan hệ, sự đồng cảm
binding (n) . /ˈbaɪndɪŋ/ | gắn chặt chẽ khó tách rời
domain expansion (n) . /doʊˈmeɪn ɪkˈspænʃən/ | Bành trướng Lãnh địa
domain (n) . /doʊˈmeɪn/ | lĩnh vực, miền
expansion (n) . /ɪkˈspænʃən/ | sự bành trướng, sự mở rộng
opportunity (n) . /ˌɒpəˈtjuːnəti/ | cơ hội
adapter (n) . /əˈdæptər/ | bộ chuyển đổi
adapted (adj) . /əˈdæptɪd/ | được chuyển thể
appreciate (v) . /əˈpriːʃieɪt/ | thông cảm, đánh giá cao
remain close (phrase) . /rɪˈmeɪn kloʊs/ | giữ quan hệ thân thiết, tiếp tục ở gần
so that (conjunction) . /soʊ ðæt/ | để, để cho (chỉ mục đích)
transport (n/v) . /trænˈspɔːrt/ | vận chuyển, phương tiện giao thông
bug (n) . /bʌɡ/ | con bọ
ladybug (n) . /ˈleɪdibʌɡ/ | con bọ rùa
butterfly (n) . /ˈbʌtərflaɪ/ | con bướm
ant (n) . /ænt/ | con kiến
photograph (n) . /ˈfəʊtərɑːf/ | bức ảnh
photographer (n) . /fəˈtɒɡrəfər/ | nhiếp ảnh gia
ground (n) . /ɡraʊnd/ | mặt đất, đất
geographic (adj) . /ˌdʒiːəˈɡræfɪk/ | thuộc về địa lý
entomologist (n) . /ˌentəˈmɑːlədʒɪst/ | nhà côn trùng học
forest (n) . /ˈfɔːrɪst/ | rừng
frightening (adj) . /ˈfraɪtənɪŋ/ | đáng sợ, kinh sợ
